מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2017 - מועד א',על מה אחראי ההורמון ג'יברלין?,התפתחות השורש,התפתחות עלים,היווה חלק משמעותי במהפכה הירוקה,גורם לחלוקת תאים ועפצים,,,3,Biology of Plants,FALSE,,
שחזורים 2017 - מועד א',מה נכון?,. אור אדום גורם לחלבון הפיטוכרום להיכנס גרעין ולהשפיע על ביטוי גנים,אור אדום רחוק גורם לחלבון הפיטוכרום להיכנס גרעין ולהשפיע על ביטוי גנים,אור אדום גורם לחלבון הפיטוכרום להשפיע על ביטוי גנים,אותו דבר עם אור אדום רחוק ולא נכנס לגרעין,אור אדום רחוק הופך אותו לבעל יכולת לקלוט אור אדום רחוק,,1,Biology of Plants,FALSE,,
שחזורים 2017 - מועד א',"הרצפטור לאור אדום, פיטוכרום אינו מעורב ב:",גדילה גרוויטרופית (response gravitrophic,נביטת זרעים,תגובה להצללה (avoidance shade,מעבר לפריחה,פוטופיריודה (photoperiodism(,,1,Biology of Plants,FALSE,,
שחזורים 2017 - מועד א',"כאשר מכינים צמח טרנסגני בעזרת DNA-T ,מכניסים לצמח:",הורמונים,נופלינים,נופלינים + הורמונים,גן מטרה,חיידק האגרובקטריום,,4,Biology of Plants,FALSE,,
שחזורים 2017 - מועד א',כיצד הועשרו ערכי התזונה באורז מוזהב (rice golden?,בודדו זני בר חדשים עם ערכי תזונה משופרים,אורז עבר טרנספורמציה עם גנים המקודדים לוויטמין A,אורז עבר טרנספורמציה עם גנים המקודדים לבטא קרוטין (carotene β(,הוסיפו לו בטא קרוטין (carotene β(,הוסיפו לו ויטמין A,הכליאו ביו אורז מתורבת לאורז בר,3,Biology of Plants,FALSE,,
בחני מודל,"בצפון אירופה, אחד מכל 2500 תינוקות נולד עם מחלת הסיסטיק פייברוזיס. זו היא מחלה גנטית רצסיבית. בהנחה שהרבייה באוכלוסיית האדם בצפון אירופה היא אקראית ושאין זרימה גנטית, מה הוא שיעור נשאי המחלה בחברה (כלומר, שיעור האנשים שמחזיקים בגן למחלה אך אינם חולים בה בעצמם)?",אחד מכל 2500 אנשים (0.04%),אחד מכל 50 אנשים (2%),אחד מכל 25 אנשים (4%),1-(1/2500) <0.99,,,3,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,מהו מחזור השכפול הוויראלי? בחר את הסדר הנכון מימין לשמאל,"כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, חשיפת חומר גנטי, הרכבה מחדש של הוירוס, יציאה מהתא.","כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, הרכבה מחדש של הוירוס, חשיפת חומר גנטי, יציאה מהתא.","כניסה לתא, חשיפת חומר גנטי, שכפול החומר הגנטי ויצירת חלבוני כפסיד, הרכבה מחדש של הוירוס, יציאה מהתא.","כניסה לתא, שכפול החומר הגנטי ויצירת חלבוני כפסיד, חשיפת חומר גנטי, יציאה מהתא, הרכבה מחדש של הוירוס.",,,3,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,מצאתם מאובן של יצור מסויים בדרום אפריקה. לאחר כמה חודשים מצאתם מאובן של אותו היצור גם בדרום אמריקה. איך תסבירו בצורה הטובה והנכונה ביותר את רצף האירועים הזה?,פעילות אנושית הביאה לשינוי איזורי החיות של אורגניזמים שונים.,"נדידת יבשות הביאה להפרדתן של אפריקה ודרום אמריקה, שתי יבשות שהיו מחוברות יחדיו בעבר.",תנאי אקלים דומים בשני האזורים גרמו לאבולוציה מתבדרת (adaptive ralation) דומה.,נדידה של ציפורים לרוחבו של האוקיינוס האטלנטי,,,2,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,"לפי תאוריית דרווין, מה ההסבר הסביר לכך שלפרוש אוכל חרקים באיי גלפגוס יש מקור ארוך וצר?",באוכלוסיית הפרושים אוכלי חרקים הייתה שונות בתכונות המקור. מקור צר וארך הקל על הציפורים להגיע למזון. זה גרם לכך שציפורים עם מקור צר וארוך שרדו והתרבו יותר מציפורים עם מקור אחר.,"מקור צר וארוך מקודד ע""י גן דומיננטי ולכן הוא התקבע באוכלוסייה.",כדי להגיע לחרקים הפרושים דחפו את המקור שלהם לחרירים קטנים. בסופו של דבר זה גרם לשינוי בצורת המקור ומאז התכונה הזאת עברה בתורשה.,,,,1,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,"במאה ה-19 פותח רעל לשימוש נגד מכרסימים שהציפו את העיר ניו-יורק. אחרי הצלחה של מספר שנים בהורדת מספר המכרסמים, לצערם של תושבי העיר חזרו המכרסמים לפשוט על העיר. בהתבסס על מה שלמדנו בשיעור, אילו מהתאוריות הבאות יכולה להסביר עובדה זו?",המכרסמים מתרבים בקצב גבוה מה שמדלל את השפעת הרעל על האוכלוסייה.,כל התשובות אפשריות באותה מידה,"המכרסמים הם חיה אינטיליגנטית, חלקם למדו לזהות את ריח הרעל והעבירו בהורשה תכונה זו לצאצאים שלהם, שנמנעו בעקבות כך מלצרוך את הרעל.",חלק מהמכרסמים נשאו עמידות לרעל. תכונה זו הייתה תכונה גנטית ועברה בהורשה לצאצאים. שכיחות המכרסמים העמידים לרעל עלתה באוכלוסייה עם הזמן.,,,4,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,מדוע וירוסים נקראים טפילים אובליגטורים?,הם צריכים את התא המארח על מנת להתרבות,דנ״א ויראלי תמיד נכנס לתוך דנ״א התא המארח,הם הורגים כל תא אותו הם מדביקים,הם יכולים לשלב חומצות גרעין מוירוסים אחרים,הם חייבים להשתמש באנזימים המקודדים על ידי הוירוס עצמו,,1,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,"באוכלוסייה של פרות אנגליות בעלות קרניים קצרות קיימים 3 פנוטיפים המושפעים מגן בודד: פרות אדומות (RR), פרות לבנות (WW), ופרות מעורבות (RW). פרות אדומות הן הומוזיגוטיות לאלל R, פרות לבנות הן הומוזיגוטיות לאלל W ואילו פרות מעורבות הן הטרוזיגוטיות . ערכתם תצפית על אוכלוסייה גדולה של פרות והבחנתם כי 36% מהפרות אדומות, 16% מהפרות לבנות ואילו 48% מהפרות מעורבות. מה היא תדירות האללים באוכלוסיית הפרות?","R = 0.36, W = 0.16","R = 0.6, W = 0.4","R = 0.5, W = 0.5",אי-אפשר לקבוע את תדירותו של כל אחד מהאללים על סמך המידע הזה בלבד,,,2,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,"נניח שיש אלל דומיננטי (A) הגורם למחלת הבדדת (מלשון בידוד כמובן), אנו יודעים שבאוכלוסייה 1 מתוך 400 איש מתנהל כרגיל ואינו חולה במחלה (aa). הרבייה באוכלוסיית היא אקראית ואין זרימה גנטית, כמה אחוז מהאוכלוסייה בעל האלל הדומיננטי?",0.08,0.05,0.95,0.000025,,,3,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,איזה מהשלבים הבאים לא קיים במחזור חיי הוירוס:,תרגום/רפליקציה של החומר הגנטי של התא המארח,תרגום חלבוני קפסיד,הרכבה עצמית ויציאה מהתא המארח,השלת מעטפת הוירוס,,,1,Evolution and Genomics,FALSE,,בוחן 1
בחני מודל,"חוקר מערכות הגיע לפנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. איזו תכונה או קבוצת תכונות תורמת לפתרון היחסים בין היצורים הללו?",עיניים,עמוד שדרה,רגליים ועיניים על מחושים,"עיניים, רגליים, ועיניים על מחושים",כל התכונות תורמות למטרה זו,,3,Evolution and Genomics,FALSE,https://i.imgur.com/1bJ2CDL.png,תרגול עצמי שיעור 5
בחני מודל,"חוקר מערכות הגיע לפנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. איזו תכונה או קבוצת תכונות לא תורמת לפתרון היחסים בין היצורים הללו?",עמוד שדרה ואנטנות,רגליים ועיניים על מחושים,"עיניים, עמוד שדרה present, ואנטנות",עיניים,"לא רלוונטי, כל התכונות תורמות",,3,Evolution and Genomics,FALSE,https://i.imgur.com/1bJ2CDL.png,תרגול עצמי שיעור 5
בחני מודל,"חוקר מערכות הגיע לפלנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. התכונה ""רגליים absent"" תחשב",A synapomorphy,A pleisiomorphy,A autapomorphy,אף תשובה אינה נכונה,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/1bJ2CDL.png,תרגול עצמי שיעור 5
בחני מודל,"חוקר מערכות הגיע לפלנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. התכונה ""עמוד שדרה present"" תחשב",A synapomorphy,A pleisiomorphy,A autapomorphy,אף תשובה אינה נכונה,,,3,Evolution and Genomics,FALSE,https://i.imgur.com/1bJ2CDL.png,תרגול עצמי שיעור 5
בחני מודל,"חוקר מערכות הגיע לפלנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. התכונה ""עיניים על מחושים present"" תחשב",A synapomorphy,A pleisiomorphy,A autapomorphy,אף תשובה אינה נכונה,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/1bJ2CDL.png,תרגול עצמי שיעור 5
בחני מודל,איזה תשובה מתארת קבוצה מונופילטית (monophyletic/clade)?,"אבות קדמונים המיוצגים ע""י נק' התפצלות 4 ו- 7, brown bear, polar bear ","אבות קדמונים המיוצגים ע""י נק' התפצלות 5 ו- 6, Sun bear, American black bear, Asian black bear","sun bear, sloth bear, spectacled bear",,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/0W1fSM2.png,תרגול עצמי שיעור 5
בחני מודל,איזה מין דוב התפתח ראשון באבולוציה לפי העץ הפילוגנטי?,Polar bear,Spectacled bear,Sloth bear,Giant bear,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/0W1fSM2.png,תרגול עצמי שיעור 5
בחני מודל,ב 2008 חוקרים בנו עץ פילוגנטי של 8 מיני דובים הקיימים בטבע. העץ נבנה לפי רצפי DNA של משפחת Ursidae. איזו נקודת התפצלות בעץ הפילוגנטי מייצגת את האב הקדמון הקרוב ביותר לכל הדובים?,נק' התפצלות 1,נק' התפצלות 2,נק' התפצלות 3,נק' התפצלות זו לא מופיעה בעץ,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/0W1fSM2.png,תרגול עצמי שיעור 5
בחני מודל,מצא את המין אחות (sister taxon) של ה- polar bear.,Brown bear,"אב קדמון המיוצג ע""י נק' התפצלות 7",Asian black,American black,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/0W1fSM2.png,תרגול עצמי שיעור 5
בחני מודל,"מבין האופציות למטה, איזה מין הוא הקרוב ביותר מבחינה אבולוציונית ל- sun bear?",Polar bear,Sloth bear,Sloth bear וה- Polar bear קרובים באותה מידה ל- Sun bear,,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/0W1fSM2.png,תרגול עצמי שיעור 5
בחני מודל,מה נכון לפי העץ הפילוגנטי?,תנינים (crocodile) קרובים יותר ללטאות (lizard) מאשר לציפורים (bird).,תנינים (crocodile) קרובים יותר לציפורים (bird) מאשר ללטאות (lizard).,תנינים (crocodile) קרובים באותה מידה לציפורים (bird) וללטאות (lizard).,תנינים (crocodile) קרובים ללטאות (lizard) אך אין להם קרבה כלל לציפורים (bird).,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/KAlUqnC.png,תרגול עצמי שיעור 5
בחני מודל,איזה עץ פילוגנטי יוצא דופן בהקשר לקרבה שהוא מתאר בין הקבוצות המוצגות?,a,b,c,d,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/3dWiuxC.png,תרגול עצמי שיעור 5
בחני מודל,"לפי התרשים: איזו קטגוריה טקסונומית מכילה הכי מעט
מינים?",Animalia,Panthera ,Felidae,Carnivora,Mammalia,,2,Evolution and Genomics,FALSE,https://i.imgur.com/wssL6gD.png,תרגול עצמי שיעור 5
בחני מודל,"לאב הקדמון המשותף לכל המינים המוצגים בעץ הפילוגנטי היו זנב ארוך, תנוך אוזן, אשכים חיצוניים וטפרים מקובעים. על סמך העץ ובהנחה שכל השינויים האבולוציוניים בתכונות אלו מוצגים בעץ, אלו תכונות יש לאריה ים (sea lion)?","זנב ארוך, תנוך אוזן, אשכים חיצוניים וטפרים מקובעים","זנב קצר, אין תנוך אוזן, אשכים חיצוניים וטפרים מקובעים","זנב קצר, אין תנוך אוזן, אשכים תוך בטניים וטפרים מקובעים","זנב קצר, תנוך אוזן, אשכים תוך בטניים וטפרים מקובעים","זנב ארוך, תנוך אוזן, אשכים תוך בטניים וטפרים נשלפים",,4,Evolution and Genomics,FALSE,https://i.imgur.com/RAFfXgT.png,תרגול עצמי שיעור 5
בחני מודל,איזה עץ פילוגנטי יוצא דופן בהקשר לקרבה שהוא מתאר בין הקבוצות המוצגות?,a,b,c,d,,,3,Evolution and Genomics,FALSE,https://i.imgur.com/DWft93O.png,תרגול עצמי שיעור 5
בחני מודל,"איזה נק' מייצגת את האב הקדמון הקרוב ביותר, משותף לפטרייה (mushroom) ולספוג (sponge)?",a,b,c,d,,,4,Evolution and Genomics,FALSE,https://i.imgur.com/OLO2WZ9.png,תרגול עצמי שיעור 5
בחני מודל,"חוקר מערכות הגיע לפנטה חדשה וגילה את ארבעת היצורים החדשים הללו. לאחר שנודע לו שיצור A הוא הפרימיטיבי ביותר, החוקר שלנו מחליט להשתמש בו בתור קבוצה חיצונית לניתוח פילוגנטי. איזה עץ נקבל לפי השיטה: Cladistic method?",a,b,c,d,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/ECQYOVM.png,תרגול עצמי שיעור 5
בחני מודל,על סמך העץ הפילוגנטי הנתון איזה מן העצים (א-ד) אינו נכון?,א,ב,ג,ד,,,4,Evolution and Genomics,FALSE,https://i.imgur.com/IObu5W0.png,תרגול עצמי שיעור 5
בחני מודל,"כאשר מתארים אב קדמון וחלק מהמינים שהתפתחו ממנו, זאת דוגמה ל",קבוצה מונופילטית,קבוצה פוליפילטית,קבוצה פאראפילטית,,,,3,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 5
בחני מודל,"כאשר משווים המצאות שיער על עור של יונקים לחוסר שיער בחולייתנים אחרים, זאת דוגמה של",מאפיין סינאפומורפי (Synapomorphy),מאפיין סימפליסיאומורפי (Symplesiomorphy),מאפיין פאראפילטי (paraphyletic),מאפיין פוליפילטי (polyphyletic),,,1,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 5
בחני מודל,מה נכון לפי העץ הפילוגנטי?,אצות ירוקות (green alga) קרובות יותר לאצות אדומות (red alga) מאשר לטחבים (moss),אצות ירוקות (green alga) קרובות יותר לטחבים (moss) מאשר לאצות אדומות (red alga).,אצות ירוקות (green alga) קרובות באותה מידה לאצות אדומות (red alga) ולטחבים (moss).,אצות ירוקות (green alga) קרובות לאצות אדומות (red alga) אך אין להם קרבה כלל לטחבים (moss).,,,2,Evolution and Genomics,FALSE,https://i.imgur.com/710tC52.png,תרגול עצמי שיעור 5
בחני מודל," אם היינו מוסיפים פורל (trout) לעץ הפילוגנטי, באיזו נק' לדעתך הקו שלו היה מתחבר? (פורל הוא לא בעלי סנפירים בשרניים)",a,b,c,d,e,,3,Evolution and Genomics,FALSE,https://i.imgur.com/pXeEuup.png,תרגול עצמי שיעור 5
בחני מודל,"בשנות ה 60 הגיע הדג  Cynotilapia afra לאי באגם מלאווי. מאז התפצלה אוכלוסיית
הדגים לשתי קבוצות נבדלות גנטית בצידו הצפוני והדרומי של האי. איך ניתן לקבוע האם
שתי אוכלוסיות אלו הן מינים נפרדים?","לבדוק האם לשתי האוכלוסיות יש מאפיינים מורפולוגיים שונים: צבע, מבנה עצמות וכו'.",לוודא שבין שתי האוכלוסיות יש הבדלים גנטיים.,לבדוק האם פרטים משתי האוכלוסיות יכולים להעמיד צאצאים פוריים.,,,,3,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,מפגש מחודש בין שתי אוכלוסיות שמקורן באותו מין והיו מבודדות אחת מהשניה יכול להוביל ל,ספציאציה אלופאטרית,ליצירת אזור היברידי,ספציאציה סימפאטרית,מחסום טרום-זיגוטי,,,2,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,שני מינים של צפרדעים המשתייכים לאותה משפחה יכולים להזדווג אך הצאצאים לא מצליחים לבקוע. מה המכניזם שמונע משני מינים אלו ליצור אוכלוסייה היברידית?,מחסום פוסט-זיגוטי שנקרה חוסר חיוניות של היבריד,מחסום פוסט-זיגוטי שנקרה  שבר היבריד,מחסום טרום- זיגוטי שנקרה עקרות היבריד,מחסום גמטי,,,1,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,מה ההגדרה של אזור היברידי?,אזור חפיפה אקולוגי/בית גידול בין שני מינים קרובים.,אזור בו שני מינים קרובים מזדווגים ומעמידים צאצאים חיים.,אזור בו ניתן לראות שינוי הדרגתי בהרכב המינים על הגבול בין שתי אקוסיסטמות.,אזור עליו ההיברידים מותאמים יותר מאשר כל אחד ממיני ההורים.,,,2,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,"קיפודי ים מתרבים ע""י שחרור המוני גמטות לעמודת המים שצפות בחופשיות ומופצות בעיקר ע""י
הזרם. איזה מנגנון של בידוד רבייה משפיע על קיפודי הים?",בידוד התנהגותי או מכני,בידוד בזמן או גמטי (gametic isolation),בידוד מרחבי,,,,2,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,ישנם שני נחשים דומים מאוד חיצונית. הראשון חיי באוקיינוס והשני במדבריות צפון אמריקה. איזה מחסום רבייה מצביע על כך שככל הנראה מדובר על שני מינים נפרדים?, מחסום התנהגותי,מחסום גמטי (gametic isolation),מחסום אקולוגי/בית גידול,הפרדה בזמן,,,3,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,"""עקרון המין ביולוגי""(the biological species concept) אינו ישים כאשר מדובר ב",צמחים,פרזיטים,יצורים ללא רבייה מינית,אוכלוסיות סימפאטריות,,,3,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,סביר יותר שתתרחש ספיציאציה במצבים של,סימפטריה,אנטיפטריה,אלופטריה ,קופטריה,,,3,Evolution and Genomics,FALSE,,תרגול עצמי שיעור 6
בחני מודל,אלו מהמשפטים הבאים נכון לגבי פוליפלואידיות (polyploidy) והתמינות (ספציאציה) חופפת מקום (Sympatric speciation)?,פוליפלואידיות יכולה ליצור מינים ביולוגים חדשים בצורה חופפת מקום תוך דור אחד.,פוליפלואידיות נפוצה יותר בצמחים מאשר בבעלי חיים,פוליפלואידיות יוצרת מחסום פוסט-זיגוטי (postzygotic barrier),א+ב,א+ג,א+ב+ג,6,Evolution and Genomics,TRUE,,בוחן 2
בחני מודל,איזה משפט נכון לגבי איקריוטים?,חואנופלגלאט (Choanoflagellates) הם לא פרוטיסטים,רב תאיות התפתחה פעם אחת במהלך האבולוציה של האיקריוטים,אנדוסימביוזה משנית קרתה בדיוק פעמיים במהלך האבולוציה של איקריוטים,פרוטיסטים הם מונופילטיים,יש פרוטיסטים שחיים בהדדיות (symbiosis) עם המארח (host) שלהם,,5,The Diversity of Life,FALSE,,בוחן 2
בחני מודל,מי מהבאים נכון לגבי הספיציאציה של תולעת התפוח Rhagoletis pomonella?,הצורות השונות של תולעת התפוח הן בעצם מינים אמיתיים שאינם מתרבים אחד עם השני אם נמצאים באותה מארח. ,"למרות שעץ התפוח הוכנס לאמריקה לפני 400 שנה, הגזעים השונים של תולעת התפוח לא פיתחו שום הסתגלות המתאימה לזמני יצירת הפרי השונים של המארחים שלהם.","הגזעים הסימפטריים של תולעת התפוח אכן מתפצלים, ועשויים להיות בדרך להפוך למינים נפרדים.",כל התשובות נכונות,,,3,The Diversity of Life,FALSE,,בוחן 2
בחני מודל,איזה משפט נכון לגבי X באיור הבא?,X מייצג מיקוריזה ארבוסקולרית (arbuscular mycorrhizae),X מייצג חזזית,האינטראקציה של X עם המארח מייצגת טפילות,א+ג,ב+ג,,1,The Diversity of Life,TRUE,https://i.imgur.com/Z2UVjBU.png,בוחן 2
בחני מודל,איזה משפט הכי מדויק בנוגע לאנדוסימביוזה ראשונית של פלסטידות?,זהו תהליך בו תא אאוקריוטי עוטף תא אאוקריוטי פוטוסינטטי,זהו תהליך בו תא אאוקריוטי עוטף תא חיידקי פוטוסינטטי,זהו תהליך בו תא חיידקי עוטף תא אאוקריוטי פוטוסינטטי,,,,2,The Diversity of Life,FALSE,,בוחן 2
בחני מודל,"במחזור החיים הבא מה מציינות האותיות A, B, C ו D?","A פלסמוגמיה (Plasmogamy)
B קריוגמיה (Karyogamy)
C גמטות (gametes)
D הטרוקריון (Heterokaryon)","A מייצג מיוזה (meiosis)
B מייצג הפרייה (Fertilization)
C גמטות (gametes)
 D זיגוטה (zygote)","A מייצג הפרייה (Fertilization)
B מייצג מיוזה (Meiosis)
C גמטות (gametes)
D הטרוקריון (Heterokaryon)","A מייצג הפרייה Fertilization
B מייצג מיוזה Meiosis
C גמטות (gametes)
 D זיגוטה (zygote) ","A מייצג מיוזה (Meiosis)
B הפרייה (Fertilization)
C זיגוטה (zygotes)
D גמטות (gametes)",,4,The Diversity of Life,FALSE,https://i.imgur.com/mwN3SZg.png,בוחן 2
בחני מודל,"איזה נקודה בעץ הבא מייצגת את האב הקדמון הקרוב ביותר המשותף לArthropoda, Annelida  ול Rotifera? ",E,B,D,C,A,,2,Evolution and Genomics,FALSE,https://i.imgur.com/vXlJFSY.png,בוחן 2
בחני מודל,"לפניכם עץ של חולייתנים. כל העלים שבאופן מסורתי נחשבים ""דגים"" מסומנים בצהוב. איזה סוג של קבוצה היא ""דגים""?",פאראפילטית,סינאפומורפית,מונופילטית,פלייסומורפית,,,1,Evolution and Genomics,FALSE,https://i.imgur.com/MlzrBTL.png,בוחן 2
בחני מודל,"את/אתה מבצע/מבצעת ניתוח קלדיסטי (cladistic analysis) על המכרסמים שלהלן. ידוע שטקסון (taxon) A הוא יותר מרוחק מכל האחרים, כלומר A יכול לשמש כקבוצה חיצונית (outgroup).","נוכחות של אוזניים ארוכות, זנב עבה ושערי, פסים, רגליים ארוכות ושערות שפם ארוכות",נוכחות של אוזניים ארוכות,נוכחות של רגליים ארוכות ושערות שפם ארוכות,"נוכחות של פסים, רגליים ארוכות ושערות שפם ארוכות",נוכחות של אוזניים ארוכות וזנב עבה ושעיר,,5,Evolution and Genomics,FALSE,https://i.imgur.com/jjJbhR1.png,בוחן 2
בחני מודל,"במחזור החיים הבא מה מציינות האותיות A, B, C ו D?","A מייצג הפלואיד (Haploid (n)), B דיפלואיד (Diploid (2n)), C זיגוטה (zygote),
D גמטות (gametes)","A מייצג דיפלואיד (Diploid (2n)), B הפלואיד (Haploid (n)), C גמטות (gametes),
D הטרוקריון (Heterokaryon)","A מייצג הפלואיד (Haploid (n)), B דיפלואיד (Diploid (2n)), C גמטות (gametes),
D זיגוטה (zygote)","A מייצג דיפלואיד (Diploid (2n)), B הפלואיד (Haploid (n)), C הטרוקריון (Heterokaryon), D זיגוטה (zygote)","A מייצג דיפלואיד (Diploid (2n)), B הפלואיד (Haploid (n)), C גמטות (gametes),
D זיגוטה (zygote)",,5,The Diversity of Life,FALSE,https://i.imgur.com/jxXTFKR.png,בוחן 2
בחני מודל,"החיצונית ביותר משכבות הנבט בעוברי בעלי חיים; היא המקור לכיסוי החיצוני, ובקבוצות מסוימות,המקור למערכת העצבים, נקראת:",בלסטופור blastopore,אנדודרם endoderm,מזודרם mesoderm,אקטודרם ectoderm,,,4,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,קרובי המשפחה הקרובים ביותר לבעלי-חיים הם,כואנופלגלטים (Choanoflagellates),פטריות (Fungi),נוקלארידים (Nuclearids),ספוגים (Sponges),,,1,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,להלן תבנית הגוף (body plan) של חיה בשם Dentalium laqueatum. לאיזה מערכה (phylum) היא שייכת?,קווצי עור (echinoderms),רכיכות (mollusks),איצטלנים (tunicates),תולעים שטוחות (platyhelminthes),תולעים טבעתיות (annelids),,2,The Diversity of Life,FALSE,https://i.imgur.com/7wZ9Xm3.png,בוחן 3
בחני מודל,איזו מהתופעות הבאות לא ידועה במערכת התולעים השטוחות (Platyhelminthes)?,מינים החיים חופשית במים,טפילות,נשימה באמצעות זימים,נוכחות חלל  העיכול/gatrovascular cavity,,,3,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,"בעל-החיים לעיל הינו תולעת טבעתית (An annelid), לכן נצפה שיהיה לו-",מערכת דם סגורה,ריאות,משננת (Radula),מערכת עיכול לא שלמה,,,1,The Diversity of Life,FALSE,https://i.imgur.com/O6yaAUL.png,בוחן 3
בחני מודל,מה משותף לתולעים טבעתיות (Annelida) ותולעים שטוחות (Platyhelminthes)?,בשתי הקבוצות יש מערכת דם סגורה,בשתי הקבוצות יש רק פתח אחד למערכת העיכול,"לשתי הקבוצות לרווה דומה, והן שייכות ל-Lophotrochozoa",בשתי הקבוצות אין צלום (הם אצלומטים – Acelomates),,,3,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,"בשלב ההתפתחותי המוצג בתמונה, D הוא:",אקטודרם - Ectoderm,אנדודרם - Endoderm,ארכאנטרון - Archenteron,בלסטופור - Blastopore,,,4,The Diversity of Life,FALSE,https://i.imgur.com/vrGxGdD.png,בוחן 3
בחני מודל,"החלל מצופה האנדודרם, הנוצר במהלך גסטרולציה, אשר מתפתח לצינור העיכול של בעל החיים נקרא:",בלסטופור (Blastopore),חלל גוף (Body cavity),צלום (Coelum),בלסטוצל (Blastocoel),ארכאנטרון (Archenteron),,5,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,בעל חיים השייך לראשוני הפה המשיל את עורו שייך ל:,אקדיסוזואה Ecdysozoa,לופוטרוכוזואה Lophotrochozoa,דיפלובלסט Diploblast,אין חיה כזאת,,,1,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,פתח הארכאנטרון בגסטרולה שמתפתח לפה בקדמוני הפה ולפי הטבעת בשניוני הפה נקרא?,ארכאנטרופור (Archentopore), בלסטוצל (Blastocoel),חלל גוף (Gastropore),בלסטופור (Blastopore),צלום (Coelum),,4,The Diversity of Life,FALSE,,בוחן 3
בחני מודל,מי מהבאים אינה תכונה שקיימת אצל זוחלים?,לסת תחתונה המורכבת מעצם אחת ,התפתחות דויטרוסטום (deuterostome),"חוסר זימים, פרט לכמה מינים אקווטים",ביצה שפירית (amniotic egg),האגן מאוחה לעמוד השדרה,,1,The Diversity of Life,FALSE,,בוחן 4
בחני מודל,נמטודות קרובות ביותר אל ______,Platyhelminthes - תולעים שטוחות,פרוקי רגליים - Arthropoda,Annelids - תולעים טבעתיות,מייתרנים - Chordates,,,2,The Diversity of Life,FALSE,,בוחן 4
בחני מודל,מקור הלסת בחולייתנים לסתניים (gnathostomes) הוא- ,קשת הזימים,עצמות התומכות את הגולגולת,מיתר הגב (notochord),עצמות סנפירים בחזה,,,1,The Diversity of Life,FALSE,,בוחן 4
